Datum,quirion,fintego,easyfolio,70/30 Performance mit Reb.,70/30 Performance ohne Reb.
2015-05-31,0.012,0.004,0.003,0.011670,0.011670
2015-06-30,-0.026,-0.035,-0.030,-0.038865,-0.038865
2015-07-31,0.007,0.014,0.009,0.013117,0.013117
2015-08-31,-0.040,-0.044,-0.050,-0.086225,-0.086225
2015-09-30,-0.024,-0.012,-0.018,-0.032181,-0.032181
2015-10-31,0.049,0.046,0.049,0.093797,0.093797
2015-11-30,0.015,0.016,0.020,0.033938,0.033938
2015-12-31,-0.025,-0.035,-0.032,-0.043687,-0.043687
2016-01-31,-0.041,-0.023,-0.029,-0.066283,-0.066283
2016-02-29,0.009,0.002,0.001,0.004666,0.004666
2016-03-31,0.023,0.016,0.018,0.021330,0.021330
2016-04-30,0.008,0.011,0.006,-0.000585,-0.000585
2016-05-31,0.009,0.010,0.011,0.028020,0.033572
2016-06-30,-0.005,0.005,0.005,0.004721,-0.001698
2016-07-31,0.027,0.026,0.024,0.041996,0.040600
2016-08-31,0.004,-0.002,0.005,0.006034,0.004661
2016-09-30,-0.002,0.004,0.000,0.006274,0.004188
2016-10-31,0.001,-0.008,0.001,0.008489,0.007171
2016-11-30,0.022,0.011,0.005,0.033086,0.041257
2016-12-31,0.015,0.013,0.013,0.021617,0.024489
2017-01-31,0.001,-0.003,-0.004,0.002109,-0.002653
2017-02-28,0.022,0.028,0.026,0.048773,0.049278
2017-03-31,-0.002,-0.002,0.005,0.143694,0.088136
2017-04-30,0.002,-0.004,-0.001,-0.120527,-0.078276
2017-05-31,-0.006,-0.001,-0.004,-0.009353,-0.010083
2017-06-30,-0.006,-0.015,-0.009,-0.007626,-0.008358
2017-07-31,0.001,0.001,-0.001,0.000028,-0.003225
2017-08-31,-0.005,0.003,0.000,-0.000512,-0.003562
2017-09-30,0.012,0.009,0.009,0.020719,0.023849
2017-10-31,0.017,0.022,0.020,0.037919,0.036406
2017-11-30,-0.001,0.000,-0.017,-0.005319,-0.004012
2017-12-31,-0.006,-0.023,0.001,0.018091,0.016498
2018-01-31,0.006,0.003,0.000,0.018941,0.015291
2018-02-28,-0.009,-0.011,-0.011,-0.021969,-0.020364
2018-03-31,-0.017,-0.008,-0.012,-0.029888,-0.032537
2018-04-30,0.017,0.014,0.011,0.028658,0.032774
2018-05-31,0.013,0.016,0.008,0.024613,0.029242
2018-06-30,-0.006,-0.003,-0.010,-0.012651,-0.006784
2018-07-31,0.012,0.007,0.013,0.024902,0.024847
2018-08-31,0.003,0.005,-0.006,0.004646,0.010290
2018-09-30,0.001,0.005,0.002,0.005039,0.005977
2018-10-31,-0.030,-0.026,-0.029,-0.054355,-0.052243
2018-11-30,0.003,0.005,0.010,0.015882,0.011174
2018-12-31,-0.042,-0.042,-0.036,-0.070269,-0.075701
2019-01-31,0.044,0.041,0.045,0.083213,0.081486
2019-02-28,0.017,0.018,0.011,0.027345,0.032298
2019-03-31,0.004,0.022,0.019,0.025021,0.025023
2019-04-30,0.017,0.016,0.015,0.031178,0.033240
2019-05-31,-0.033,-0.023,-0.027,-0.053013,-0.050955
2019-06-30,0.023,0.023,0.026,0.038905,0.038967
2019-07-31,0.014,0.019,0.018,0.027188,0.030751
2019-08-31,-0.012,0.004,-0.010,-0.023061,-0.020333
2019-09-30,0.019,0.010,0.019,0.032440,0.032363
2019-10-31,0.001,-0.002,0.000,0.003073,0.001440
2019-11-30,0.020,0.015,0.016,0.036264,0.039410
2019-12-31,0.011,-0.005,0.009,0.028749,0.023312
2020-01-31,-0.001,0.010,-0.003,-0.014161,-0.007425
2020-02-29,-0.039,-0.039,-0.027,-0.077746,-0.082272
2020-03-31,-0.107,-0.087,-0.114,-0.118284,-0.114228
2020-04-30,0.059,0.059,0.073,0.092996,0.094432
2020-05-31,0.010,0.014,0.008,0.015774,0.019521
2020-06-30,0.014,0.014,0.008,0.031219,0.025357
2020-07-31,-0.006,0.005,0.011,0.006221,0.002363
2020-08-31,0.025,0.028,0.018,0.047604,0.052470
2020-09-30,-0.005,-0.007,-0.010,-0.005868,-0.008538
2020-10-31,-0.009,-0.006,0.000,-0.015089,-0.020131
2020-11-30,0.049,0.047,0.049,0.090151,0.092499
2020-12-31,0.012,0.007,-0.002,0.025798,0.023089
2021-01-31,0.008,0.001,0.017,0.015765,0.011156
2021-02-28,0.013,-0.011,-0.005,0.027293,0.029188
2021-03-31,0.033,0.019,0.016,0.048918,0.053939
2021-04-30,0.001,0.008,0.002,0.011965,0.015012
